"Timestamp","Requested by","CryptoCoin","Balance in Satoshi","Balance as Coin","Current value"
"2017-09-17 10:53:27.746805","None","ltc","22517105653.0","225.17105653","9432.42"
"2017-09-17 12:40:03.374461","None","ltc","21809041669.0","218.09041669","9308.1"
"2017-09-17 12:40:27.389240","None","ltc","21809041669.0","218.09041669","9308.1"
"2017-09-17 12:43:17.021784","None","ltc","21809041669.0","218.09041669","9240.49"
"2017-09-17 12:45:07.635205","None","ltc","21809041669.0","218.09041669","9247.03"
"2017-09-17 12:45:40.001135","None","ltc","21809041669.0","218.09041669","9247.03"
"2017-09-17 12:56:23.289021","None","ltc","21809041669.0","218.09041669","9161.98"
"2017-09-17 13:07:24.222139","None","ltc","21809041669.0","218.09041669","9098.73"
"2017-09-17 13:09:17.255220","None","ltc","21809041669.0","218.09041669","9085.65"
"2017-09-17 13:14:15.431777","None","ltc","21809041669.0","218.09041669","9083.47"
"2017-09-17 13:15:16.799199","None","ltc","21809041669.0","218.09041669","9090.01"
"2017-09-17 13:16:12.543072","None","ltc","21809041669.0","218.09041669","9098.73"
"2017-09-17 13:20:36.577666","Anton","ltc","21809041669.0","218.09041669","9148.89"
"2017-09-17 13:21:37.090373","Anton","ltc","21809041669.0","218.09041669","9148.89"
"2017-09-17 13:24:58.271601","Anton","ltc","21795002922.0","217.95002922","9123.39"
"2017-09-17 15:04:36.167675","Frank","ltc","21737794093.0","217.37794093","9190.74"
"2017-09-17 16:24:29.056721","Anton","ltc","21641987665.0","216.41987665","9314.71"
"2017-09-17 16:54:15.164620","Anton","ltc","21641987665.0","216.41987665","9349.34"
"2017-09-17 16:56:24.073050","Anton","ltc","21641987665.0","216.41987665","9349.34"
"2017-09-17 17:02:26.178407","Anton","ltc","21543789242.0","215.43789242","9319.84"
"2017-09-17 17:04:28.308396","Anton","ltc","21543789242.0","215.43789242","9319.84"
"2017-09-17 17:07:22.942180","Anton","ltc","21543789242.0","215.43789242","9291.84"
"2017-09-17 17:08:32.673441","Anton","ltc","21543789242.0","215.43789242","9285.37"
"2017-09-17 17:11:18.407293","Anton","ltc","21543789242.0","215.43789242","9289.68"
"2017-09-17 17:16:12.218528","Anton","ltc","21543789242.0","215.43789242","9347.85"
"2017-09-17 17:16:26.252077","Frank","ltc","21543789242.0","215.43789242","9347.85"
"2017-09-17 17:16:32.858416","Frank","ltc","21543789242.0","215.43789242","9347.85"
"2017-09-17 17:18:11.708064","Anton","ltc","21543789242.0","215.43789242","9347.85"
"2017-09-17 17:35:20.088582","None","ltc","21522245064.0","215.22245064","9362.18"
"2017-09-17 17:42:24.679445","None","ltc","21522245064.0","215.22245064","9390.16"
"2017-09-17 17:43:37.639739","Scheduler","ltc","21522245064.0","215.22245064","9390.16"
"2017-09-17 17:43:42.949981","Scheduler","ltc","21522245064.0","215.22245064","9390.16"
"2017-09-17 17:43:53.820841","None","ltc","21522245064.0","215.22245064","9424.59"
"2017-09-17 19:41:37.957549","None","ltc","21252866827.0","212.52866827","9512.78"
"2017-09-17 19:41:38.702202","None","ltc","21252866827.0","212.52866827","9512.78"
